epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_real,f1_ai_gen,f1_ai_edit
1,0.494439,0.686817,0.408091,0.780044,0.779363,0.731975,0.878961,0.727153
2,0.364329,0.788956,0.352233,0.816589,0.816637,0.758095,0.910841,0.780976
3,0.309365,0.829106,0.348788,0.815861,0.815029,0.73916,0.910362,0.795564
4,0.264955,0.861559,0.353059,0.821516,0.822113,0.755413,0.918377,0.792549
5,0.222144,0.892249,0.357464,0.827685,0.828892,0.760554,0.918439,0.807683
6,0.186817,0.914441,0.383014,0.823744,0.825647,0.763206,0.920888,0.792847
7,0.155452,0.93474,0.408992,0.82323,0.822717,0.749951,0.919818,0.798382
8,0.135069,0.948369,0.4296,0.820702,0.822439,0.751678,0.916745,0.798895
9,0.114726,0.960299,0.456507,0.82083,0.821641,0.746898,0.920752,0.797274
10,0.101247,0.967354,0.452118,0.820959,0.822383,0.750929,0.917566,0.798655
11,0.0905,0.973479,0.473392,0.824215,0.825891,0.762464,0.917572,0.797637
12,0.084202,0.977199,0.481647,0.826443,0.827488,0.762516,0.922926,0.797022
